Casos,Mortes,Suspeitos,Descartados,Data
0,0,0,0,18/03
0,0,0,0,19/03
1,0,214,0,20/03
2,0,214,135,21/03
2,0,280,136,22/03
6,0,480,170,23/03
8,0,584,182,24/03
8,0,584,182,5/03
10,0,728,297,26/03
14,0,663,363,27/03
16,0,647,379,28/03
22,1,434,585,29/03
31,1,222,791,30/03
52,1,754,1247,31/03
71,1,774,1413,1/04
81,1,913,1452,2/04
88,1,935,1503,3/04
96,2,1084,1529,4/04
133,2,1040,1652,5/04
172,4,1218,1756,6/04
230,11,1372,1855,7/04
273,12,1627,1928,8/04
293,16,1869,1987,9/04
344,21,2242,2019,10/04
398,24,2265,2053,11/04
445,27,2269,2104,12/04
478,32,2606,2131,13/04
630,34,2889,2290,14/04
695,37,3202,2426,15/04
797,40,3676,2465,16/04
1040,44,3676,2465,17/04
1205,48,3588,3008,18/04
